Role,Skills,Category,AverageSalary,Location,DemandLevel
Site Reliability Engineer,"HTML,Node.js,Penetration Testing,Agile,Flask",Business,₹14 LPA,Hyderabad,High
Technical Writer,"Java,UI Design,Agile,HTML,Azure,Vue.js,Network Security,Scikit",Marketing,₹4 LPA,New York,Very High
DevOps Engineer,"Penetration Testing,PHP,Linux,Deep Learning,Tableau",Marketing,₹28 LPA,Mumbai,High
Digital Marketer,"C#,PostgreSQL,Node.js,CSS,Google Cloud",HR,₹9 LPA,Chennai,Low
QA Engineer,"Terraform,Machine Learning,Elasticsearch,TensorFlow",IT/Software,₹45 LPA,New York,Low
Machine Learning Engineer,"HTML,GitHub,Angular,MongoDB",Design,₹18 LPA,Chennai,High
System Administrator,"Illustrator,Blockchain,Data Analysis,React,Computer Vision,JavaScript,Rust",Finance,₹5 LPA,New York,Medium
Frontend Developer,"MySQL,Go,Node.js",IT/Software,₹34 LPA,London,Medium
Operations Manager,"Solidity,Ruby on Rails,C#",HR,₹18 LPA,San Francisco,Very High
Cloud Architect,"Flask,Kanban,Jenkins,Spring Boot,GitHub,Node.js,Rust,Penetration Testing",Marketing,₹20 LPA,Chennai,High
System Administrator,"Docker,JavaScript,Natural Language Processing,Machine Learning,Redis,Ruby on Rails,Azure,Spring Boot",IT/Software,₹44 LPA,Chennai,High
Database Administrator,"ASP.NET,PostgreSQL,C++,Ethereum,Tableau,NumPy,Redis",Finance,₹11 LPA,Delhi NCR,Low
Sales Executive,"Adobe XD,Django,Rust",IT/Software,₹25 LPA,Hyderabad,Very High
Product Manager,"Agile,Blockchain,Windows",IT/Software,₹43 LPA,Pune,High
Data Scientist,"Power BI,GitHub,Node.js",Operations,₹37 LPA,London,Medium
Cloud Architect,"Adobe XD,Elasticsearch,NumPy,Power BI,Ansible,NoSQL",Operations,₹25 LPA,Chennai,High
Site Reliability Engineer,"TensorFlow,Illustrator,Python,GitLab,Natural Language Processing,Rust,Docker",Marketing,₹24 LPA,Pune,Medium
Full Stack Developer,"PostgreSQL,NoSQL,Redis,TensorFlow,Ansible,C++",Data Science,₹13 LPA,Chennai,Very High
Product Manager,"C++,Sketch,Smart Contracts",Marketing,₹34 LPA,London,Medium
Graphic Designer,"CSS,Rust,UI Design,Go,Machine Learning,Solidity,Power BI",Finance,₹5 LPA,Pune,Medium
Legal Advisor,"Java,MySQL,AWS,GitLab",HR,₹9 LPA,Delhi NCR,High
Site Reliability Engineer,"Azure,Ansible,MacOS,Network Security,MySQL,Go,Machine Learning,Penetration Testing",Data Science,₹21 LPA,Remote,High
Marketing Specialist,"Solidity,Cryptography,Figma,CSS,Penetration Testing,C#",HR,₹11 LPA,New York,Very High
Technical Recruiter,"Excel,Ruby,Node.js,Blockchain,Sketch",IT/Software,₹22 LPA,New York,Medium
Technical Writer,"Blockchain,Scrum,Express.js,Solidity,Deep Learning,Git,Jenkins",HR,₹7 LPA,London,Low
Marketing Specialist,"React,Ethereum,Smart Contracts,Power BI",Finance,₹14 LPA,London,Very High
Mobile App Developer,"Ethereum,Express.js,MacOS,Django,Go,Elasticsearch,Vue.js,Python",Data Science,₹21 LPA,London,Medium
HR Manager,"Data Analysis,Flask,PyTorch,MySQL,Scikit",HR,₹4 LPA,Bangalore,Medium
Financial Analyst,"UX Design,Ansible,PowerShell,Cybersecurity",Design,₹16 LPA,Delhi NCR,Low
HR Manager,"Ansible,Jenkins,Computer Vision",Finance,₹35 LPA,Pune,Low
DevOps Engineer,"Data Analysis,Azure,GitHub",IT/Software,₹27 LPA,Delhi NCR,Medium
Game Developer,"Rust,Python,Natural Language Processing,Photoshop,Solidity,AWS,Ruby on Rails",IT/Software,₹15 LPA,New York,Very High
Legal Advisor,"Kanban,Kotlin,NumPy,Google Cloud",IT/Software,₹36 LPA,Remote,Low
Marketing Specialist,"Penetration Testing,Kanban,NoSQL",Business,₹17 LPA,London,Medium
Mobile App Developer,"ASP.NET,SQL,Pandas,Jira,Docker,Confluence",Operations,₹14 LPA,New York,Very High
Frontend Developer,"Django,C#,Ethereum,Machine Learning,Kubernetes,Docker,Python,GitHub",IT/Software,₹35 LPA,London,Very High
Scrum Master,"Sketch,Angular,Elasticsearch,Network Security,Figma,Ethereum",Design,₹14 LPA,Delhi NCR,Very High
Sales Executive,"Cybersecurity,Scrum,C#,Flask,Deep Learning,PostgreSQL,Data Analysis,Windows",IT/Software,₹18 LPA,New York,High
System Administrator,"JavaScript,Google Cloud,CSS,Ethereum,Photoshop,Sketch",HR,₹43 LPA,Remote,Low
Database Administrator,"Angular,Terraform,Linux,Illustrator,Kubernetes,Node.js",HR,₹34 LPA,Pune,Medium
Marketing Specialist,"TensorFlow,UX Design,React,Rust",IT/Software,₹36 LPA,Remote,Very High
DevOps Engineer,"Photoshop,Cybersecurity,Elasticsearch,Jira,Node.js,Network Security,Terraform",Marketing,₹20 LPA,Chennai,High
Product Manager,"Computer Vision,Azure,Data Visualization,Node.js",Operations,₹26 LPA,New York,High
Legal Advisor,"MongoDB,Node.js,C#",HR,₹43 LPA,London,High
UI/UX Designer,"UX Design,UI Design,C++,Pandas,GitHub,MacOS,Rust",Operations,₹7 LPA,Bangalore,Medium
Operations Manager,"Linux,ASP.NET,Kotlin,MacOS,Vue.js,Pandas,PyTorch",Data Science,₹35 LPA,Mumbai,Low
Technical Writer,"Power BI,SQL,Confluence,C#,Bash,Pandas,UX Design",Finance,₹10 LPA,Pune,High
Marketing Specialist,"Tableau,NoSQL,Bash,Pandas,UX Design,Solidity,Spring Boot,Angular",Marketing,₹10 LPA,Chennai,Low
AI Researcher,"CSS,Confluence,Bash,Node.js,Rust",Business,₹30 LPA,Pune,Medium
Software Engineer,"Ansible,PHP,TypeScript,Docker",HR,₹26 LPA,London,Medium
Cloud Architect,"Blockchain,TensorFlow,Vue.js",Finance,₹27 LPA,Chennai,Medium
UI/UX Designer,"Kanban,AWS,Figma,UI Design,Machine Learning,PyTorch",Business,₹16 LPA,Mumbai,Medium
Business Analyst,"Ruby,Kubernetes,JavaScript,Vue.js",Data Science,₹7 LPA,Bangalore,Medium
DevOps Engineer,"GitLab,MongoDB,Kotlin",Design,₹14 LPA,London,Very High
Backend Developer,"UI Design,Elasticsearch,Flask",Design,₹15 LPA,Hyderabad,Very High
Full Stack Developer,"Vue.js,C++,JavaScript,Flask,Terraform,Illustrator,Deep Learning",IT/Software,₹32 LPA,Delhi NCR,Very High
DevOps Engineer,"Computer Vision,Photoshop,Smart Contracts",Marketing,₹14 LPA,London,Very High
IT Support Specialist,"Node.js,Deep Learning,Kanban,Figma,Illustrator,Linux",Business,₹22 LPA,San Francisco,High
Machine Learning Engineer,"Express.js,Pandas,Windows,Node.js,NumPy,C#,Google Cloud,Penetration Testing",Finance,₹40 LPA,New York,Medium
Product Manager,"Terraform,Data Visualization,Adobe XD",Operations,₹32 LPA,San Francisco,High
Technical Recruiter,"Spring Boot,MySQL,Kanban,HTML,C++,Confluence,AWS,Data Visualization",Finance,₹37 LPA,Chennai,Medium
Video Editor,"Blockchain,Adobe XD,UI Design,Solidity,GitHub",Design,₹41 LPA,Mumbai,High
SEO Specialist,"PostgreSQL,Redis,Windows,Cybersecurity,Figma",HR,₹43 LPA,London,Low
IT Support Specialist,"JavaScript,Network Security,MySQL,React",Data Science,₹37 LPA,Mumbai,High
Customer Success Manager,"Smart Contracts,PostgreSQL,MySQL,Kubernetes,C++,AWS,Redis,Flask",Operations,₹41 LPA,Remote,Very High
Blockchain Developer,"Natural Language Processing,Jira,Cryptography,HTML,Network Security,Deep Learning",HR,₹30 LPA,New York,Very High
Security Analyst,"Vue.js,Azure,PHP",Marketing,₹10 LPA,San Francisco,Medium
Content Creator,"Google Cloud,Agile,Photoshop",Data Science,₹21 LPA,Remote,Medium
Backend Developer,"C++,PowerShell,Sketch,Agile,Django,Flask",Operations,₹8 LPA,Mumbai,Very High
Content Creator,"Penetration Testing,PyTorch,NoSQL,Google Cloud,Computer Vision,Natural Language Processing",Design,₹41 LPA,New York,High
Backend Developer,"MongoDB,ASP.NET,Terraform,MySQL,Ansible,Scikit,C++,Natural Language Processing",Finance,₹17 LPA,Delhi NCR,Very High
Backend Developer,"Python,Deep Learning,Blockchain",Finance,₹8 LPA,Delhi NCR,High
Video Editor,"Ruby on Rails,MySQL,Deep Learning",Design,₹6 LPA,London,Very High
Database Administrator,"C#,Pandas,Kubernetes,Natural Language Processing",Finance,₹25 LPA,Pune,High
Machine Learning Engineer,"TypeScript,Jenkins,Kotlin,Cybersecurity,C#,Express.js",HR,₹37 LPA,New York,Low
Backend Developer,"Solidity,Excel,Blockchain,Ethereum,PostgreSQL,Computer Vision",Operations,₹16 LPA,Mumbai,Medium
Data Engineer,"PHP,MongoDB,AWS,Terraform,Data Visualization",Design,₹35 LPA,Hyderabad,Low
DevOps Engineer,"UX Design,Confluence,CSS",HR,₹28 LPA,Delhi NCR,High
Mobile App Developer,"MacOS,NoSQL,Express.js,PostgreSQL,Power BI,C#,Agile",Finance,₹8 LPA,Pune,Medium
Graphic Designer,"Illustrator,Rust,Tableau",IT/Software,₹38 LPA,Chennai,Very High
Technical Recruiter,"Kotlin,MongoDB,Scikit,UX Design,Node.js,SQL,CSS,Jenkins",Operations,₹14 LPA,Bangalore,High
Network Engineer,"Azure,Bitbucket,Ruby on Rails,Photoshop,Swift",Data Science,₹43 LPA,Pune,High
HR Manager,"Go,Figma,Terraform,MacOS,Python",Marketing,₹36 LPA,Chennai,High
DevOps Engineer,"Terraform,Sketch,Flask,C#,UX Design,Blockchain",Finance,₹33 LPA,Bangalore,Very High
Data Engineer,"PHP,Machine Learning,Tableau",Data Science,₹26 LPA,San Francisco,Very High
DevOps Engineer,"SQL,TypeScript,Node.js,Angular,Ansible",Design,₹35 LPA,Pune,High
Data Analyst,"Express.js,Ruby,JavaScript",IT/Software,₹7 LPA,New York,Low
Customer Success Manager,"TypeScript,UX Design,Elasticsearch,Adobe XD,Swift,Solidity,TensorFlow,Redis",Business,₹21 LPA,San Francisco,Very High
Technical Recruiter,"MongoDB,PHP,Solidity,Angular",Operations,₹30 LPA,San Francisco,High
Blockchain Developer,"Node.js,Elasticsearch,Bitbucket",Finance,₹8 LPA,London,Low
Video Editor,"TypeScript,GitHub,UI Design,Illustrator,Photoshop,Confluence",Business,₹26 LPA,Pune,Very High
Backend Developer,"Flask,Blockchain,Kanban,Python",Operations,₹44 LPA,San Francisco,Low
AI Researcher,"Illustrator,Java,Photoshop,PostgreSQL,Deep Learning,Blockchain,Data Analysis",Data Science,₹37 LPA,London,Very High
Mobile App Developer,"Vue.js,Computer Vision,MongoDB",Data Science,₹29 LPA,Mumbai,Medium
Digital Marketer,"MacOS,Excel,Express.js,Figma,Photoshop,Scrum,Kanban,JavaScript",IT/Software,₹17 LPA,London,Medium
Data Analyst,"Ruby on Rails,Blockchain,TypeScript,UX Design,Spring Boot,Azure,React",Marketing,₹26 LPA,Pune,High
SEO Specialist,"Jira,Ruby,SQL",Marketing,₹38 LPA,Pune,Low
Full Stack Developer,"NumPy,Kanban,SQL,Agile,Penetration Testing,Docker,Ruby,Blockchain",IT/Software,₹29 LPA,London,High
Content Creator,"Deep Learning,Kubernetes,Pandas,Swift",Finance,₹11 LPA,Mumbai,Very High
Sales Executive,"Sketch,Solidity,JavaScript,AWS,Illustrator",IT/Software,₹32 LPA,Bangalore,Very High
Data Engineer,"Cybersecurity,Confluence,Data Visualization,Scikit,Illustrator,Windows,Adobe XD",Design,₹20 LPA,Chennai,Medium
Network Engineer,"Vue.js,Flask,Windows,Figma,Git,PowerShell,Cybersecurity",HR,₹44 LPA,Hyderabad,Very High
Site Reliability Engineer,"Azure,Django,Data Visualization,HTML",Design,₹25 LPA,Bangalore,Medium
Operations Manager,"TypeScript,Tableau,Photoshop,Java,Scikit",Business,₹30 LPA,Pune,Low
HR Manager,"Angular,Natural Language Processing,TypeScript",Design,₹27 LPA,Chennai,Very High
Software Engineer,"Scrum,Deep Learning,UX Design,Terraform,NoSQL",Operations,₹19 LPA,Delhi NCR,Medium
Mobile App Developer,"Cryptography,Ruby on Rails,Agile,C++,Blockchain",Data Science,₹41 LPA,Pune,High
Digital Marketer,"Ansible,TensorFlow,Windows",Finance,₹21 LPA,Remote,Very High
DevOps Engineer,"Jenkins,Cybersecurity,Solidity,Smart Contracts,Illustrator,UI Design,Ruby",Business,₹5 LPA,Hyderabad,Medium
Operations Manager,"Illustrator,Blockchain,PHP,Vue.js,Cybersecurity",Business,₹40 LPA,San Francisco,Very High
Frontend Developer,"Pandas,Data Analysis,PowerShell,JavaScript,Terraform,Go",Finance,₹28 LPA,Hyderabad,High
Video Editor,"TensorFlow,JavaScript,Deep Learning,Adobe XD,Confluence,Docker",Design,₹6 LPA,Remote,Medium
Accountant,"Ruby on Rails,Linux,Scrum,Jira,Network Security,PostgreSQL,Illustrator",Marketing,₹45 LPA,Pune,Low
Database Administrator,"Angular,Google Cloud,Penetration Testing,Docker",Finance,₹22 LPA,Mumbai,Medium
Network Engineer,"Pandas,Scikit,Django,Ethereum,Agile,Natural Language Processing",Finance,₹6 LPA,Delhi NCR,Low
Network Engineer,"PostgreSQL,Kotlin,Data Analysis,GitLab",HR,₹45 LPA,Hyderabad,Medium
Business Analyst,"Tableau,Flask,Docker,Solidity",Data Science,₹5 LPA,London,Low
Mobile App Developer,"Machine Learning,Express.js,Penetration Testing,JavaScript,HTML,Django,Swift,GitLab",Operations,₹4 LPA,Remote,High
Sales Executive,"SQL,Data Visualization,Deep Learning,Flask,MongoDB,PowerShell,Kanban,Confluence",Business,₹10 LPA,Pune,Medium
Mobile App Developer,"Figma,Node.js,Photoshop",HR,₹27 LPA,Remote,Very High
HR Manager,"SQL,MacOS,GitHub,Cybersecurity,PostgreSQL,Python,Spring Boot,Data Visualization",Finance,₹28 LPA,Delhi NCR,Very High
Customer Success Manager,"Blockchain,NumPy,Bash",IT/Software,₹34 LPA,Remote,Medium
AI Researcher,"NumPy,NoSQL,Kotlin,HTML,Cybersecurity,MySQL",HR,₹35 LPA,Mumbai,Medium
Data Engineer,"Illustrator,TypeScript,Bitbucket,Docker,Tableau",Data Science,₹30 LPA,Hyderabad,Low
Security Analyst,"TensorFlow,Linux,GitLab",Design,₹28 LPA,New York,Very High
IT Support Specialist,"PyTorch,Google Cloud,Pandas,Elasticsearch,Blockchain",Operations,₹32 LPA,Pune,High
Backend Developer,"Django,Smart Contracts,Penetration Testing,PostgreSQL,Vue.js,Cybersecurity,JavaScript,Docker",Marketing,₹41 LPA,London,Very High
Cloud Architect,"Bitbucket,Bash,C#,Photoshop,Azure,Power BI",HR,₹29 LPA,Chennai,Low
Technical Recruiter,"Solidity,HTML,Java,UI Design,GitLab,Python",Marketing,₹10 LPA,Hyderabad,Medium
Legal Advisor,"Tableau,Rust,Figma,Bash,Machine Learning,GitLab,Docker",Marketing,₹6 LPA,San Francisco,High
Data Engineer,"GitHub,Photoshop,Flask,Excel,MySQL,HTML,Kanban",IT/Software,₹12 LPA,New York,Low
SEO Specialist,"PostgreSQL,Google Cloud,Blockchain",Marketing,₹13 LPA,Bangalore,High
AI Researcher,"Excel,UX Design,Swift,GitHub,MacOS,Angular",Data Science,₹40 LPA,Remote,Very High
Game Developer,"Cybersecurity,PowerShell,Agile,Spring Boot",Design,₹30 LPA,San Francisco,High
HR Manager,"GitHub,Scrum,Spring Boot,Cryptography,AWS,Computer Vision,PHP",IT/Software,₹15 LPA,London,Low
Technical Recruiter,"Angular,Linux,Figma,TypeScript,Scikit,Illustrator,Penetration Testing,Ruby on Rails",Operations,₹9 LPA,New York,Low
Customer Success Manager,"CSS,Power BI,Node.js,Blockchain,NumPy,MacOS,MySQL",Marketing,₹40 LPA,New York,High
Financial Analyst,"Network Security,Django,SQL,Machine Learning,UI Design,Jenkins",Data Science,₹21 LPA,San Francisco,Very High
Content Creator,"MongoDB,Kanban,Ansible,Pandas,Ruby on Rails,TensorFlow",HR,₹39 LPA,Delhi NCR,Medium
Data Analyst,"Scrum,Django,Deep Learning,Azure,Rust,Cybersecurity,Confluence,Natural Language Processing",Design,₹26 LPA,Delhi NCR,Medium
Backend Developer,"Confluence,Scrum,Power BI,Angular,MongoDB",Operations,₹23 LPA,New York,Medium
Cloud Architect,"Adobe XD,Photoshop,Angular,Kotlin,Docker,NoSQL",Business,₹23 LPA,London,Very High
Game Developer,"Natural Language Processing,MacOS,Angular",IT/Software,₹26 LPA,San Francisco,Low
Game Developer,"Google Cloud,Deep Learning,Bitbucket,Docker,Blockchain,Azure,Jenkins,Photoshop",Design,₹45 LPA,Hyderabad,Medium
Technical Recruiter,"NumPy,Jenkins,Machine Learning",IT/Software,₹38 LPA,Mumbai,Very High
Cloud Architect,"Spring Boot,Django,Kotlin",Data Science,₹12 LPA,London,Very High
Data Scientist,"PHP,Scrum,NoSQL,PowerShell",Marketing,₹28 LPA,Delhi NCR,Very High
Marketing Specialist,"MySQL,C#,HTML,Google Cloud,Scrum,NoSQL,Natural Language Processing",Business,₹17 LPA,San Francisco,Low
System Administrator,"GitHub,Machine Learning,PostgreSQL",Business,₹13 LPA,Hyderabad,Medium
Digital Marketer,"React,Agile,Node.js,UI Design,PowerShell,Jenkins,JavaScript",Design,₹44 LPA,Hyderabad,Very High
Marketing Specialist,"Google Cloud,Jira,Computer Vision,Swift",Business,₹8 LPA,London,Low
Operations Manager,"ASP.NET,Bitbucket,NumPy,Kotlin,Python,Git,SQL",Design,₹10 LPA,Hyderabad,Medium
Product Manager,"Kotlin,Flask,Photoshop,Kanban,Scrum,Kubernetes,Vue.js",Operations,₹8 LPA,Hyderabad,Medium
Cloud Architect,"Sketch,Scrum,Kotlin,React,Ruby on Rails,MongoDB,Jenkins,MySQL",Operations,₹27 LPA,Remote,High
Backend Developer,"Penetration Testing,Cryptography,Bash",Data Science,₹42 LPA,Pune,Low
QA Engineer,"Git,UX Design,TypeScript,Kotlin,Excel,Django",Finance,₹18 LPA,Chennai,High
AI Researcher,"Azure,Express.js,TensorFlow,Kanban",Finance,₹10 LPA,San Francisco,Medium
Digital Marketer,"Kubernetes,PostgreSQL,Ansible",IT/Software,₹34 LPA,Delhi NCR,Medium
System Administrator,"Deep Learning,PowerShell,Ruby on Rails,Scikit,CSS,Bash",Business,₹39 LPA,Remote,Medium
Network Engineer,"Adobe XD,CSS,Express.js,Scrum,Jenkins,Vue.js",IT/Software,₹17 LPA,Pune,Very High
UI/UX Designer,"UI Design,Data Visualization,CSS,Spring Boot,Git,Photoshop,Scrum",Operations,₹31 LPA,Mumbai,Very High
Product Manager,"Java,Cybersecurity,Sketch",Business,₹10 LPA,San Francisco,Low
Data Engineer,"C#,Django,Figma,Penetration Testing,Sketch",HR,₹6 LPA,London,Low
Network Engineer,"Power BI,Python,C#,GitLab,Computer Vision,Photoshop",Design,₹29 LPA,Delhi NCR,Low
SEO Specialist,"Git,GitHub,Google Cloud,Jenkins,Redis,Java,Deep Learning",HR,₹34 LPA,Pune,Very High
Game Developer,"Illustrator,Kotlin,Kubernetes,Kanban,Blockchain,Photoshop,Sketch",IT/Software,₹23 LPA,Hyderabad,High
Frontend Developer,"Excel,Flask,Redis,Terraform",Data Science,₹32 LPA,Delhi NCR,High
Game Developer,"Power BI,TensorFlow,Google Cloud,Confluence",HR,₹38 LPA,Mumbai,High
Security Analyst,"Scikit,Blockchain,JavaScript,Python,Flask,Spring Boot,NumPy,Java",IT/Software,₹18 LPA,London,Low
Mobile App Developer,"Adobe XD,Cybersecurity,PowerShell,Excel,Python",Design,₹25 LPA,Delhi NCR,Very High
Graphic Designer,"Cryptography,ASP.NET,Pandas,Illustrator",Finance,₹29 LPA,Delhi NCR,Medium
Site Reliability Engineer,"GitHub,Linux,Scrum,PyTorch,Cybersecurity,PHP,UI Design",HR,₹10 LPA,Mumbai,High
Software Engineer,"Sketch,Network Security,Penetration Testing,Data Visualization,Elasticsearch,NumPy",Marketing,₹9 LPA,Pune,Medium
Game Developer,"Figma,HTML,Machine Learning,Jenkins,Flask,Bitbucket",IT/Software,₹31 LPA,Mumbai,Low
SEO Specialist,"NoSQL,Machine Learning,C++,Adobe XD,Deep Learning,TensorFlow",HR,₹45 LPA,Mumbai,High
Mobile App Developer,"Agile,Figma,Cybersecurity,Jira,Google Cloud,Angular",Marketing,₹28 LPA,New York,Medium
Business Analyst,"Sketch,Figma,Cybersecurity",Data Science,₹27 LPA,New York,Very High
Database Administrator,"Swift,Agile,Google Cloud,Kanban",IT/Software,₹42 LPA,Chennai,Low
Machine Learning Engineer,"PowerShell,Data Visualization,MacOS,HTML,PHP,C++,Jira,Angular",Finance,₹6 LPA,New York,Very High
Accountant,"Data Analysis,UI Design,Flask,Pandas,Kotlin,GitHub",HR,₹44 LPA,Chennai,High
Financial Analyst,"GitHub,Git,C#,Sketch,Terraform,Angular,TypeScript,SQL",Marketing,₹17 LPA,Chennai,Very High
Data Engineer,"Spring Boot,Cryptography,MySQL,Kotlin,Java,Jira",Marketing,₹39 LPA,Bangalore,Medium
Network Engineer,"Node.js,Tableau,Data Visualization,Confluence,Scrum,Jira,Solidity,Kanban",Design,₹41 LPA,Remote,High
Data Analyst,"AWS,Ruby on Rails,Express.js,Jira,TensorFlow",Finance,₹31 LPA,Delhi NCR,High
Legal Advisor,"MongoDB,Angular,Cryptography,Machine Learning,Natural Language Processing",Marketing,₹38 LPA,Chennai,Very High
Sales Executive,"Data Visualization,PyTorch,PHP,UI Design,Linux,Network Security,Ethereum,Swift",Data Science,₹36 LPA,Mumbai,Low
Technical Recruiter,"NumPy,Penetration Testing,Ruby on Rails,Figma,Linux,AWS,Jira,MongoDB",HR,₹14 LPA,London,Low
Technical Writer,"C++,Ruby,C#",HR,₹39 LPA,Hyderabad,Medium
Content Creator,"MongoDB,Illustrator,Jira,JavaScript,Express.js,GitHub,Ansible,CSS",Finance,₹17 LPA,Delhi NCR,High
HR Manager,"MongoDB,Excel,Cybersecurity,PHP,Confluence",IT/Software,₹42 LPA,Remote,Low
Accountant,"Machine Learning,Bitbucket,Bash,PostgreSQL,JavaScript",Operations,₹11 LPA,Hyderabad,High
Content Creator,"Git,SQL,Penetration Testing,GitLab",Finance,₹21 LPA,London,Low
Cloud Architect,"Data Visualization,Tableau,Azure,Windows,Bash,Solidity,Ruby,Natural Language Processing",Finance,₹34 LPA,Delhi NCR,Low
Sales Executive,"Rust,Git,Blockchain,Power BI,Ethereum,PHP,Sketch",Operations,₹36 LPA,Bangalore,High
Digital Marketer,"Google Cloud,Git,Cybersecurity,Jira",HR,₹23 LPA,Chennai,Medium
Video Editor,"Azure,Ansible,Pandas,C++",IT/Software,₹6 LPA,Chennai,High
Graphic Designer,"Smart Contracts,Swift,Tableau,Scrum,GitLab,Ruby,JavaScript,AWS",Marketing,₹16 LPA,Remote,High
Legal Advisor,"Smart Contracts,NoSQL,C#,Kotlin,Jenkins",HR,₹28 LPA,Chennai,Medium
Frontend Developer,"Cybersecurity,Agile,Ethereum,Django,Scikit",Marketing,₹11 LPA,Mumbai,High
UI/UX Designer,"Pandas,Python,Angular,Kanban,Go,NumPy,Docker,Vue.js",HR,₹37 LPA,Delhi NCR,Low
Technical Recruiter,"Solidity,Kanban,Ruby",HR,₹11 LPA,San Francisco,High
Machine Learning Engineer,"Penetration Testing,Kanban,Google Cloud,Linux,PHP,Ethereum,Elasticsearch,Solidity",IT/Software,₹17 LPA,Bangalore,Low
Data Analyst,"TypeScript,Go,JavaScript,Natural Language Processing,Vue.js,Deep Learning",Design,₹45 LPA,Mumbai,Very High
Database Administrator,"Swift,Data Visualization,Java,AWS",Finance,₹40 LPA,Bangalore,Low
Technical Writer,"NoSQL,Kotlin,Figma,Confluence,Deep Learning",Data Science,₹40 LPA,Delhi NCR,Low
Data Scientist,"Google Cloud,Swift,Jenkins,Cryptography,CSS,Kotlin,Elasticsearch,MacOS",IT/Software,₹23 LPA,Mumbai,High
Data Analyst,"PowerShell,Penetration Testing,Bash,Agile,Redis,Kanban",Marketing,₹28 LPA,Mumbai,High
Network Engineer,"Docker,GitLab,TensorFlow,Scrum,Node.js,PostgreSQL,Natural Language Processing,Ethereum",Operations,₹24 LPA,San Francisco,Low
HR Manager,"Cybersecurity,Go,Google Cloud",Operations,₹38 LPA,London,Medium
HR Manager,"Natural Language Processing,Cybersecurity,C++,Go",Marketing,₹17 LPA,London,Low
Marketing Specialist,"Node.js,Blockchain,TypeScript,Bash,Swift,PowerShell,Sketch,Data Visualization",HR,₹11 LPA,Bangalore,High
Financial Analyst,"Express.js,Scrum,GitLab,Node.js,Vue.js,NoSQL,Network Security",Data Science,₹13 LPA,Bangalore,Low
Operations Manager,"Python,Computer Vision,Data Analysis,Jira,Scikit,Kanban",Business,₹9 LPA,London,Low
Blockchain Developer,"C++,Machine Learning,Elasticsearch,ASP.NET,Jira",Business,₹16 LPA,New York,Medium
Game Developer,"ASP.NET,Ethereum,Java,Flask,Photoshop,Computer Vision,Figma",HR,₹4 LPA,Remote,Low
Frontend Developer,"Pandas,Kanban,Rust",IT/Software,₹23 LPA,Chennai,Very High
Mobile App Developer,"Excel,Spring Boot,NoSQL,Azure",Business,₹42 LPA,Hyderabad,High
Marketing Specialist,"Penetration Testing,JavaScript,Scrum,Kubernetes,Network Security,Sketch",Design,₹10 LPA,San Francisco,Medium
Software Engineer,"Blockchain,Ruby on Rails,Power BI",Operations,₹38 LPA,San Francisco,Medium
Full Stack Developer,"Ruby on Rails,TypeScript,React",Operations,₹11 LPA,Mumbai,Medium
Business Analyst,"Git,MacOS,Cybersecurity,PowerShell",Business,₹4 LPA,Hyderabad,Low
Video Editor,"Deep Learning,NoSQL,Ansible,Natural Language Processing",Business,₹10 LPA,Pune,Very High
Software Engineer,"TypeScript,Ethereum,Jenkins,GitHub,Kanban,Spring Boot",Business,₹24 LPA,Chennai,High
Data Analyst,"Rust,C#,AWS,Kanban,ASP.NET,Penetration Testing",IT/Software,₹32 LPA,San Francisco,Low
QA Engineer,"Data Analysis,UI Design,Django",Design,₹45 LPA,Hyderabad,Medium
QA Engineer,"React,Network Security,Google Cloud,Jira,GitHub",Design,₹12 LPA,Remote,Low
Technical Writer,"Pandas,TypeScript,Jenkins,Network Security",Business,₹21 LPA,Bangalore,High
Customer Success Manager,"React,Jenkins,Sketch,Go",HR,₹45 LPA,London,Medium
Video Editor,"Google Cloud,AWS,Windows,CSS,Express.js,Azure,Bitbucket",IT/Software,₹29 LPA,Chennai,High
Digital Marketer,"GitLab,Rust,Jira,Network Security,ASP.NET,Bash",Finance,₹15 LPA,Mumbai,Medium
Marketing Specialist,"Network Security,C#,Agile",HR,₹16 LPA,Mumbai,High
Database Administrator,"Deep Learning,C++,Angular,Redis",Marketing,₹37 LPA,Pune,Low
Product Manager,"ASP.NET,NumPy,Tableau,Java,MacOS,Solidity,Jenkins",HR,₹41 LPA,Delhi NCR,Very High
Marketing Specialist,"Ethereum,Express.js,Tableau,UX Design,Sketch,AWS,Ansible",HR,₹16 LPA,New York,Low
Business Analyst,"Confluence,Sketch,Penetration Testing",HR,₹45 LPA,Mumbai,High
Financial Analyst,"Network Security,Kotlin,C#,Go,TensorFlow",IT/Software,₹6 LPA,Remote,Medium
Frontend Developer,"Data Visualization,NumPy,SQL,Scrum,Ruby,GitLab,Machine Learning",Operations,₹20 LPA,Hyderabad,Medium
Legal Advisor,"PHP,Confluence,Excel,Photoshop,UX Design,Go,Power BI,Pandas",Data Science,₹16 LPA,Pune,Medium
Full Stack Developer,"Bitbucket,Ethereum,Agile,Bash,Data Analysis,Spring Boot",Operations,₹35 LPA,Chennai,High
IT Support Specialist,"Agile,NumPy,Network Security,Bash",IT/Software,₹42 LPA,New York,Low
