Role,Skill,Roadmap_Steps
Legal Advisor,Cybersecurity,"[""Week 1: Introduction to Cybersecurity Fundamentals & Setup for Legal Advisor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cybersecurity"", ""Week 3: Advanced Cybersecurity Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cybersecurity""]"
Blockchain Developer,MacOS,"[""Week 1: Introduction to MacOS Fundamentals & Setup for Blockchain Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in MacOS"", ""Week 3: Advanced MacOS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using MacOS""]"
Database Administrator,Python,"[""Week 1: Introduction to Python Fundamentals & Setup for Database Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Python"", ""Week 3: Advanced Python Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Python""]"
QA Engineer,C#,"[""Week 1: Introduction to C# Fundamentals & Setup for QA Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in C#"", ""Week 3: Advanced C# Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using C#""]"
Financial Analyst,TypeScript,"[""Week 1: Introduction to TypeScript Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in TypeScript"", ""Week 3: Advanced TypeScript Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using TypeScript""]"
Software Engineer,Ruby,"[""Week 1: Introduction to Ruby Fundamentals & Setup for Software Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ruby"", ""Week 3: Advanced Ruby Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ruby""]"
Sales Executive,Tableau,"[""Week 1: Introduction to Tableau Fundamentals & Setup for Sales Executive"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Tableau"", ""Week 3: Advanced Tableau Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Tableau""]"
Game Developer,Swift,"[""Week 1: Introduction to Swift Fundamentals & Setup for Game Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Swift"", ""Week 3: Advanced Swift Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Swift""]"
SEO Specialist,Cryptography,"[""Week 1: Introduction to Cryptography Fundamentals & Setup for SEO Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cryptography"", ""Week 3: Advanced Cryptography Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cryptography""]"
Customer Success Manager,Kotlin,"[""Week 1: Introduction to Kotlin Fundamentals & Setup for Customer Success Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kotlin"", ""Week 3: Advanced Kotlin Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kotlin""]"
Content Creator,GitHub,"[""Week 1: Introduction to GitHub Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitHub"", ""Week 3: Advanced GitHub Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitHub""]"
Customer Success Manager,Penetration Testing,"[""Week 1: Introduction to Penetration Testing Fundamentals & Setup for Customer Success Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Penetration Testing"", ""Week 3: Advanced Penetration Testing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Penetration Testing""]"
Graphic Designer,PowerShell,"[""Week 1: Introduction to PowerShell Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PowerShell"", ""Week 3: Advanced PowerShell Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PowerShell""]"
DevOps Engineer,Django,"[""Week 1: Introduction to Django Fundamentals & Setup for DevOps Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Django"", ""Week 3: Advanced Django Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Django""]"
Video Editor,Agile,"[""Week 1: Introduction to Agile Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Agile"", ""Week 3: Advanced Agile Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Agile""]"
Data Analyst,JavaScript,"[""Week 1: Introduction to JavaScript Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in JavaScript"", ""Week 3: Advanced JavaScript Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using JavaScript""]"
Machine Learning Engineer,Spring Boot,"[""Week 1: Introduction to Spring Boot Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Spring Boot"", ""Week 3: Advanced Spring Boot Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Spring Boot""]"
Content Creator,Flask,"[""Week 1: Introduction to Flask Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Flask"", ""Week 3: Advanced Flask Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Flask""]"
Technical Recruiter,Deep Learning,"[""Week 1: Introduction to Deep Learning Fundamentals & Setup for Technical Recruiter"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Deep Learning"", ""Week 3: Advanced Deep Learning Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Deep Learning""]"
Sales Executive,Illustrator,"[""Week 1: Introduction to Illustrator Fundamentals & Setup for Sales Executive"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Illustrator"", ""Week 3: Advanced Illustrator Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Illustrator""]"
Accountant,Node.js,"[""Week 1: Introduction to Node.js Fundamentals & Setup for Accountant"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Node.js"", ""Week 3: Advanced Node.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Node.js""]"
Video Editor,Vue.js,"[""Week 1: Introduction to Vue.js Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Vue.js"", ""Week 3: Advanced Vue.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Vue.js""]"
Digital Marketer,Illustrator,"[""Week 1: Introduction to Illustrator Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Illustrator"", ""Week 3: Advanced Illustrator Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Illustrator""]"
Legal Advisor,PowerShell,"[""Week 1: Introduction to PowerShell Fundamentals & Setup for Legal Advisor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PowerShell"", ""Week 3: Advanced PowerShell Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PowerShell""]"
Technical Recruiter,Ruby,"[""Week 1: Introduction to Ruby Fundamentals & Setup for Technical Recruiter"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ruby"", ""Week 3: Advanced Ruby Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ruby""]"
Digital Marketer,Tableau,"[""Week 1: Introduction to Tableau Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Tableau"", ""Week 3: Advanced Tableau Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Tableau""]"
Product Manager,HTML,"[""Week 1: Introduction to HTML Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in HTML"", ""Week 3: Advanced HTML Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using HTML""]"
SEO Specialist,Blockchain,"[""Week 1: Introduction to Blockchain Fundamentals & Setup for SEO Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Blockchain"", ""Week 3: Advanced Blockchain Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Blockchain""]"
Data Analyst,Scikit,"[""Week 1: Introduction to Scikit Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scikit"", ""Week 3: Advanced Scikit Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scikit""]"
IT Support Specialist,PyTorch,"[""Week 1: Introduction to PyTorch Fundamentals & Setup for IT Support Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PyTorch"", ""Week 3: Advanced PyTorch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PyTorch""]"
Graphic Designer,Scikit,"[""Week 1: Introduction to Scikit Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scikit"", ""Week 3: Advanced Scikit Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scikit""]"
QA Engineer,Node.js,"[""Week 1: Introduction to Node.js Fundamentals & Setup for QA Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Node.js"", ""Week 3: Advanced Node.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Node.js""]"
UI/UX Designer,Azure,"[""Week 1: Introduction to Azure Fundamentals & Setup for UI/UX Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Azure"", ""Week 3: Advanced Azure Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Azure""]"
Operations Manager,Jira,"[""Week 1: Introduction to Jira Fundamentals & Setup for Operations Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Jira"", ""Week 3: Advanced Jira Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Jira""]"
SEO Specialist,ASP.NET,"[""Week 1: Introduction to ASP.NET Fundamentals & Setup for SEO Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in ASP.NET"", ""Week 3: Advanced ASP.NET Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using ASP.NET""]"
Network Engineer,Bash,"[""Week 1: Introduction to Bash Fundamentals & Setup for Network Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bash"", ""Week 3: Advanced Bash Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bash""]"
Site Reliability Engineer,Cybersecurity,"[""Week 1: Introduction to Cybersecurity Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cybersecurity"", ""Week 3: Advanced Cybersecurity Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cybersecurity""]"
Data Engineer,Ansible,"[""Week 1: Introduction to Ansible Fundamentals & Setup for Data Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ansible"", ""Week 3: Advanced Ansible Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ansible""]"
Frontend Developer,ASP.NET,"[""Week 1: Introduction to ASP.NET Fundamentals & Setup for Frontend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in ASP.NET"", ""Week 3: Advanced ASP.NET Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using ASP.NET""]"
Technical Writer,Adobe XD,"[""Week 1: Introduction to Adobe XD Fundamentals & Setup for Technical Writer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Adobe XD"", ""Week 3: Advanced Adobe XD Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Adobe XD""]"
Network Engineer,Ruby on Rails,"[""Week 1: Introduction to Ruby on Rails Fundamentals & Setup for Network Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ruby on Rails"", ""Week 3: Advanced Ruby on Rails Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ruby on Rails""]"
AI Researcher,Redis,"[""Week 1: Introduction to Redis Fundamentals & Setup for AI Researcher"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Redis"", ""Week 3: Advanced Redis Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Redis""]"
Network Engineer,Spring Boot,"[""Week 1: Introduction to Spring Boot Fundamentals & Setup for Network Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Spring Boot"", ""Week 3: Advanced Spring Boot Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Spring Boot""]"
SEO Specialist,Solidity,"[""Week 1: Introduction to Solidity Fundamentals & Setup for SEO Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Solidity"", ""Week 3: Advanced Solidity Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Solidity""]"
Technical Recruiter,Kotlin,"[""Week 1: Introduction to Kotlin Fundamentals & Setup for Technical Recruiter"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kotlin"", ""Week 3: Advanced Kotlin Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kotlin""]"
Site Reliability Engineer,Sketch,"[""Week 1: Introduction to Sketch Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Sketch"", ""Week 3: Advanced Sketch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Sketch""]"
Cloud Architect,Adobe XD,"[""Week 1: Introduction to Adobe XD Fundamentals & Setup for Cloud Architect"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Adobe XD"", ""Week 3: Advanced Adobe XD Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Adobe XD""]"
Operations Manager,MongoDB,"[""Week 1: Introduction to MongoDB Fundamentals & Setup for Operations Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in MongoDB"", ""Week 3: Advanced MongoDB Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using MongoDB""]"
Financial Analyst,Terraform,"[""Week 1: Introduction to Terraform Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Terraform"", ""Week 3: Advanced Terraform Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Terraform""]"
System Administrator,Kotlin,"[""Week 1: Introduction to Kotlin Fundamentals & Setup for System Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kotlin"", ""Week 3: Advanced Kotlin Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kotlin""]"
Full Stack Developer,AWS,"[""Week 1: Introduction to AWS Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in AWS"", ""Week 3: Advanced AWS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using AWS""]"
Financial Analyst,Bitbucket,"[""Week 1: Introduction to Bitbucket Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bitbucket"", ""Week 3: Advanced Bitbucket Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bitbucket""]"
Full Stack Developer,Ruby on Rails,"[""Week 1: Introduction to Ruby on Rails Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ruby on Rails"", ""Week 3: Advanced Ruby on Rails Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ruby on Rails""]"
Full Stack Developer,Adobe XD,"[""Week 1: Introduction to Adobe XD Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Adobe XD"", ""Week 3: Advanced Adobe XD Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Adobe XD""]"
Operations Manager,Spring Boot,"[""Week 1: Introduction to Spring Boot Fundamentals & Setup for Operations Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Spring Boot"", ""Week 3: Advanced Spring Boot Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Spring Boot""]"
Site Reliability Engineer,Figma,"[""Week 1: Introduction to Figma Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Figma"", ""Week 3: Advanced Figma Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Figma""]"
IT Support Specialist,NoSQL,"[""Week 1: Introduction to NoSQL Fundamentals & Setup for IT Support Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in NoSQL"", ""Week 3: Advanced NoSQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using NoSQL""]"
Frontend Developer,TypeScript,"[""Week 1: Introduction to TypeScript Fundamentals & Setup for Frontend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in TypeScript"", ""Week 3: Advanced TypeScript Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using TypeScript""]"
Sales Executive,Network Security,"[""Week 1: Introduction to Network Security Fundamentals & Setup for Sales Executive"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Network Security"", ""Week 3: Advanced Network Security Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Network Security""]"
Product Manager,PHP,"[""Week 1: Introduction to PHP Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PHP"", ""Week 3: Advanced PHP Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PHP""]"
Game Developer,ASP.NET,"[""Week 1: Introduction to ASP.NET Fundamentals & Setup for Game Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in ASP.NET"", ""Week 3: Advanced ASP.NET Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using ASP.NET""]"
Product Manager,Django,"[""Week 1: Introduction to Django Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Django"", ""Week 3: Advanced Django Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Django""]"
Mobile App Developer,Smart Contracts,"[""Week 1: Introduction to Smart Contracts Fundamentals & Setup for Mobile App Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Smart Contracts"", ""Week 3: Advanced Smart Contracts Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Smart Contracts""]"
DevOps Engineer,Django,"[""Week 1: Introduction to Django Fundamentals & Setup for DevOps Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Django"", ""Week 3: Advanced Django Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Django""]"
Data Scientist,React,"[""Week 1: Introduction to React Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in React"", ""Week 3: Advanced React Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using React""]"
Digital Marketer,C#,"[""Week 1: Introduction to C# Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in C#"", ""Week 3: Advanced C# Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using C#""]"
UI/UX Designer,Kubernetes,"[""Week 1: Introduction to Kubernetes Fundamentals & Setup for UI/UX Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kubernetes"", ""Week 3: Advanced Kubernetes Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kubernetes""]"
Data Engineer,Photoshop,"[""Week 1: Introduction to Photoshop Fundamentals & Setup for Data Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Photoshop"", ""Week 3: Advanced Photoshop Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Photoshop""]"
Business Analyst,Java,"[""Week 1: Introduction to Java Fundamentals & Setup for Business Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Java"", ""Week 3: Advanced Java Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Java""]"
Product Manager,Azure,"[""Week 1: Introduction to Azure Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Azure"", ""Week 3: Advanced Azure Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Azure""]"
Technical Recruiter,Confluence,"[""Week 1: Introduction to Confluence Fundamentals & Setup for Technical Recruiter"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Confluence"", ""Week 3: Advanced Confluence Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Confluence""]"
Marketing Specialist,Scikit,"[""Week 1: Introduction to Scikit Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scikit"", ""Week 3: Advanced Scikit Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scikit""]"
Business Analyst,Redis,"[""Week 1: Introduction to Redis Fundamentals & Setup for Business Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Redis"", ""Week 3: Advanced Redis Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Redis""]"
Marketing Specialist,GitHub,"[""Week 1: Introduction to GitHub Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitHub"", ""Week 3: Advanced GitHub Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitHub""]"
Product Manager,Scrum,"[""Week 1: Introduction to Scrum Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scrum"", ""Week 3: Advanced Scrum Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scrum""]"
AI Researcher,GitHub,"[""Week 1: Introduction to GitHub Fundamentals & Setup for AI Researcher"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitHub"", ""Week 3: Advanced GitHub Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitHub""]"
Technical Writer,GitLab,"[""Week 1: Introduction to GitLab Fundamentals & Setup for Technical Writer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitLab"", ""Week 3: Advanced GitLab Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitLab""]"
Frontend Developer,Natural Language Processing,"[""Week 1: Introduction to Natural Language Processing Fundamentals & Setup for Frontend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Natural Language Processing"", ""Week 3: Advanced Natural Language Processing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Natural Language Processing""]"
Site Reliability Engineer,Machine Learning,"[""Week 1: Introduction to Machine Learning Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Machine Learning"", ""Week 3: Advanced Machine Learning Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Machine Learning""]"
UI/UX Designer,Network Security,"[""Week 1: Introduction to Network Security Fundamentals & Setup for UI/UX Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Network Security"", ""Week 3: Advanced Network Security Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Network Security""]"
DevOps Engineer,Ruby,"[""Week 1: Introduction to Ruby Fundamentals & Setup for DevOps Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ruby"", ""Week 3: Advanced Ruby Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ruby""]"
Network Engineer,Ruby,"[""Week 1: Introduction to Ruby Fundamentals & Setup for Network Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ruby"", ""Week 3: Advanced Ruby Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ruby""]"
Sales Executive,Vue.js,"[""Week 1: Introduction to Vue.js Fundamentals & Setup for Sales Executive"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Vue.js"", ""Week 3: Advanced Vue.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Vue.js""]"
Data Scientist,Go,"[""Week 1: Introduction to Go Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Go"", ""Week 3: Advanced Go Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Go""]"
Product Manager,Spring Boot,"[""Week 1: Introduction to Spring Boot Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Spring Boot"", ""Week 3: Advanced Spring Boot Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Spring Boot""]"
SEO Specialist,Excel,"[""Week 1: Introduction to Excel Fundamentals & Setup for SEO Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Excel"", ""Week 3: Advanced Excel Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Excel""]"
Content Creator,Azure,"[""Week 1: Introduction to Azure Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Azure"", ""Week 3: Advanced Azure Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Azure""]"
Financial Analyst,Network Security,"[""Week 1: Introduction to Network Security Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Network Security"", ""Week 3: Advanced Network Security Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Network Security""]"
Software Engineer,Machine Learning,"[""Week 1: Introduction to Machine Learning Fundamentals & Setup for Software Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Machine Learning"", ""Week 3: Advanced Machine Learning Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Machine Learning""]"
Blockchain Developer,Kubernetes,"[""Week 1: Introduction to Kubernetes Fundamentals & Setup for Blockchain Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kubernetes"", ""Week 3: Advanced Kubernetes Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kubernetes""]"
SEO Specialist,Django,"[""Week 1: Introduction to Django Fundamentals & Setup for SEO Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Django"", ""Week 3: Advanced Django Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Django""]"
Technical Recruiter,Go,"[""Week 1: Introduction to Go Fundamentals & Setup for Technical Recruiter"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Go"", ""Week 3: Advanced Go Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Go""]"
Blockchain Developer,Tableau,"[""Week 1: Introduction to Tableau Fundamentals & Setup for Blockchain Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Tableau"", ""Week 3: Advanced Tableau Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Tableau""]"
UI/UX Designer,Excel,"[""Week 1: Introduction to Excel Fundamentals & Setup for UI/UX Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Excel"", ""Week 3: Advanced Excel Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Excel""]"
Sales Executive,JavaScript,"[""Week 1: Introduction to JavaScript Fundamentals & Setup for Sales Executive"", ""Week 2: Core Concepts, Syntax, and Basic Projects in JavaScript"", ""Week 3: Advanced JavaScript Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using JavaScript""]"
Product Manager,Confluence,"[""Week 1: Introduction to Confluence Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Confluence"", ""Week 3: Advanced Confluence Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Confluence""]"
